carnum,ft1,lt1,ft2,lt2,ft4,lt4
√ˆH623106D60A6ED0B6FCCF0E11B9D893B9,13,17,12,14,,
’„GF9824F649A6B8F7ACF1E2012E2AC7605,7,17,16,16,7.0,18.0
’„GABD1FF6575121556BC7DCC30965CB8FD,7,17,7,17,12.0,12.0
’„GC0B1B443586932EA73B9EA9C0BCC99DF,6,18,7,18,7.0,17.0
’„G6F64DC3CF15D31D2D554A4A85B75F15C,7,13,7,17,,
’„GD6319726E020AEA19F941A9D978B31B7,6,19,9,21,,
’„GE715DD1F1BB66782399B01AB4771A682,7,16,8,16,7.0,19.0
’„GC38E258B06893493E037C81C0871E61C,7,17,7,17,7.0,17.0
’„G7CC4ACFF2C60FD53FD7205396539556B,15,17,11,13,11.0,13.0
’„G83F6FE3889675C88BA08BDD440F7EF90,7,18,14,16,,
’„G2114305B9D02D7A42C9482C372C10BA4,7,17,7,18,7.0,17.0
’„GA1D0F956973400359139BC18A64B5FC3,7,21,7,21,6.0,18.0
’„GA55AFC037A0157053BCAF7E7AC2DCFE4,7,18,7,18,,
’„GF311C07D18D02B89E53C96DAB104C76D,7,17,7,17,,
’„G8D3B61BA6ED35779B11231A43E9270AD,8,16,12,18,,
’„G9EC55270836C7C7B31CF749F9540AB9B,7,17,7,17,6.0,18.0
’„G0738B63B0FB0A03ECF5C6D15C8132F5A,20,20,15,15,6.0,18.0
’„G893AC3678472C3EC9B2F43849DA0B0A4,8,18,10,17,8.0,19.0
’„GE6D09503421C14F45F783616045E6546,8,9,8,16,,
’„GE923366D278C9BDDCEC98B9D722C837D,7,8,7,16,,
’„G8924E871F8B3DBBA1C4E14AD3C280CD3,8,17,8,17,8.0,8.0
’„G8579C28E3827820D549EF3167C7E21C5,7,15,8,16,7.0,16.0
’„G2F234F47CF53A2961603412975DC4079,7,17,7,17,7.0,18.0
’„G6B3CC44E429C563C0BFD0086AC821844,7,17,7,17,7.0,18.0
’„G8DC2614E85908F742AF20745E646A4AA,7,7,7,16,,
’„G476B8BBE4D9C73D08A652EA7486D51FD,7,17,8,16,6.0,17.0
’„G1794DF45E2BE16FE349D78672964188E,8,11,12,17,,
’„AC3ED0710A673A6F5F12D858BECD7FFBB,6,16,16,16,6.0,17.0
’„G1DD3DA962E41088639499AB82697E3E7,7,17,7,17,,
’„G47D8C7ADD1E312B44A24E8F9D1D65822,7,16,16,16,7.0,17.0
’„G4969D1E5AB56D13B9D1698594A3E72B7,7,16,7,16,7.0,17.0
’„G88133D62119A37C6F6B6F8F40B5B6629,7,17,7,16,7.0,17.0
’„G8D014193C94E43A56300A3D77F3E0926,7,18,7,17,7.0,7.0
’„G93715DE3B685B5D911FBA3A2A6C0CFFE,7,17,7,16,7.0,20.0
’„GABF1D7978BB706B02B415EB30FD21DCD,6,18,16,17,6.0,17.0
’„GB5F33338CD7501DC468C85C238849005,7,18,16,16,7.0,18.0
’„GDD9DEA986D86F5C54D36EB23C46A5D4C,7,15,7,16,7.0,15.0
’„GE5DD625FBF028BC06BFB5D80E08EBC1D,7,17,7,16,7.0,18.0
’„GFA26BEA589A7B8BE57A7BC4DFAF3749E,7,16,7,16,7.0,17.0
’„GEF054B76885D428A5F0D5F0F7375A8C8,7,16,7,17,6.0,17.0
’„GA8107B456C66704AF97582827628579D,7,16,7,17,,
’„G49C599B876199145B1385780DE3BAB93,7,17,7,16,,
’„GB932E4B1BB35584BE6CF7C5C5FE411A2,7,17,7,17,,
’„GE9E55D55C2D8C03F7802342C4B7E9CF2,7,16,7,16,,
’„G811E679942556B1BA282D605651D1529,7,18,8,16,7.0,18.0
’„G30288666BE5A56906DB75A01D88981EA,6,16,7,17,,
’„GC7E3A365393CA44FF9A00D1B6615E851,7,17,7,17,,
’„GD88378C1C3D8A1793C3639B024721BB8,7,17,8,17,7.0,18.0
’„G6DA7F816719E70F7C6CBF93E5D34E9FF,6,17,6,16,6.0,16.0
’„G42FC6D0FCB3113305809B7EA14DB4F83,7,16,8,16,7.0,16.0
’„GCD7C76CF174498AD3F111A6E729B6160,7,15,7,16,7.0,17.0
’„GF5BC41C13FEC1CC11FC3D5BCFA35E2B7,7,16,7,17,6.0,16.0
’„GFF2068FE9E437C015CAC77E374CD64EE,8,17,8,8,8.0,18.0
’„G97474692C9B5F058C2C829BE278E3ACA,12,22,14,21,12.0,21.0
’„G2812806B0872FF3A5EC6CB824D95DB34,7,8,8,15,,
’„G43127C02010AE6A149F396CC2831D1AB,7,18,13,17,,
’„G343016E88DFCFB07DDAFB5ED0C148E8D,7,17,8,16,,
œÊEC92188F03BC88FF7ADDE506C4ECCC516,8,20,8,16,8.0,21.0
’„G7BF3DAEE915D2C8194A4BFE8EFEC8CDB,6,20,6,10,7.0,17.0
’„G107ACB74E430915A7143FCA3886AECC7,7,8,7,17,,
’„GBF41D5587545C3BFB70A611A73AFA9A0,7,18,8,17,7.0,8.0
’„G4DAF029566CA4412362B0E10A1B48EA5,6,16,6,17,6.0,17.0
’„GF9B60C153992AB06A6E5E3CBA1C9A14B,7,19,13,17,,
’„G8074122A6B95D735FF1C928F771767F1,7,17,7,17,7.0,18.0
’„G3347C09D1E7FD7D8102194BB5A0801F7,6,16,6,23,7.0,16.0
’„GED0B1961B34D1B481BB0FA7605ADBD8F,7,15,7,17,,
’„G674FACB9F989BD7D85D0CB68C06519BB,6,16,7,15,,
’„GC600826AFE4517CA76200F579FED6619,6,17,8,17,,
’„G2943E15E7015358B04E6D5AE3D532F04,7,10,9,18,,
’„G91754AB24C3B3453724E75C84BE8DE19,6,17,8,15,6.0,17.0
‘•P7512FC1FB28C1F715591B294AABD3C0E,8,17,8,17,7.0,17.0
’„G0FBFBF36C6CB15C1C906D79CAFC9EF00,7,18,9,13,8.0,15.0
’„G9322D8F6B627863D3E327E4044238BC3,7,16,8,16,7.0,17.0
’„GBB071569ED5C6AF48E13B74C38B9F8D0,7,16,7,7,,
’„G018553486DF05AB04EB467398426BFEC,6,19,16,17,8.0,17.0
’„G8FFB7C352ED76F1C0B5ED3ACF55E9FB6,7,16,6,13,6.0,17.0
’„GFE8B129F71D8945D1D6743013C276135,6,17,7,17,6.0,17.0
’„GB764D2013A5E4A3E0EE1BB7A35D9316E,7,17,8,10,7.0,17.0
’„G32A30525A806B7F36DCBAD36524330B3,7,18,7,18,7.0,18.0
’„G2A46DE2D23638C2BA3EBBE12CA68C3B7,7,17,7,17,,
’„GF2EF738B4D25F22F809C2ADEF18B30DA,7,20,7,17,,
’„GD9A7A8D4F49ECE795E05687C2ECE4043,6,16,7,16,7.0,17.0
’„G10DFC947986B8164E1D724A190A4961C,5,18,8,17,8.0,17.0
’„G1A16FD0AD89D7458CAC9F30F036B88A2,7,17,7,17,7.0,18.0
’„G623F369E1638B699D1EAEC26444E8FA2,6,16,7,16,6.0,19.0
’„GBBD71155C6A87983761E93F1865B48A2,6,19,9,10,7.0,17.0
’„G06C9D24BA5B037F37AF93E0F5949885C,7,16,8,17,17.0,17.0
’„GD4E557911E8C358B0761C1947E3CE85A,7,17,7,17,7.0,18.0
’„G1585CB91BC5696DC0B99A1C70BFADFC6,7,16,7,16,,
’„G63EFF1002AB89F77ECA8ECB3D75182BE,7,17,7,14,7.0,17.0
’„G25202D771C4875FD20F8DDA97AA65472,6,17,7,17,,
’„G214EB173C51F07E3E02FE48F779A0D95,6,11,7,17,,
’„G63EEBC1428A0B2EC7EE6628988A7BD23,8,11,11,15,9.0,16.0
’„GE8F199F0DB73F1E7AEF502A41884030D,6,7,7,17,7.0,18.0
’„GDC279FEEF7D6ACEE513A1DE34A8AD5B2,7,17,7,16,7.0,17.0
’„G3A75F565C50CA748DFDC0C811EAB23F0,7,16,7,16,7.0,18.0
’„G842BECA92DE58D0315CBFD79AE26E938,7,20,10,12,0.0,19.0
’„G22913A1A24E7AD98514AEBE76DA40113,22,22,7,19,7.0,20.0
’„GF24A7440DD47C02A133E61B9D4A18267,6,14,10,12,6.0,14.0
’„GBA9B1D7FC2765DF20A98CBFFD9FF4F3B,7,17,7,17,,
’„GCA396B05B1A713EB0DF9A4C3FF36A226,11,21,1,22,2.0,17.0
’„GA2E758884C522DE3FE4DDFE75F33AF04,8,19,11,18,9.0,21.0
’„GEF527BF5E1A3A79B35B383C3C0BD9F61,7,17,7,11,7.0,17.0
’„G7E92CE86193EC88A70CE10B611464F14,6,15,7,10,6.0,11.0
’„GF4486B0DBF77F395E2D391D0711A1078,8,14,8,11,7.0,18.0
’„G8952FB3585F10058A8E567B1FE42C688,7,20,8,14,6.0,14.0
’„G04D5ACA026D94D60E2582622C80D035A,7,16,9,14,14.0,17.0
’„G9D23AD0B5A707450A3B3F6BBB1402C0A,6,18,12,18,7.0,16.0
’„G321FBA7E6350C5ED8009279423051930,8,18,8,14,7.0,19.0
’„GCF7EDB3FD55D02DC7607BC746A8EFB89,7,15,7,16,,
’„GE15AAE0D5BDB0D5996CE30E30B1A922A,7,16,14,17,7.0,18.0
’„GB20B9A6DBE2C720F6FC2CC58E59BCFC2,6,14,9,13,6.0,21.0
’„GEE7A53F0B7438D900C5EAFE66C29E854,7,21,7,16,7.0,20.0
’„G08C1BE83551D1DEEBF1914DFE464DB08,6,16,8,10,6.0,14.0
’„G451A54F8DEE0036DE645875634637DF2,7,18,8,17,6.0,17.0
’„G62D747DC5C5C28E6EDEA255A65513DC3,6,17,7,17,7.0,7.0
’„GD4AD73621547BC1FEBA17F375996C846,8,22,8,11,6.0,20.0
’„GE3D2B943772CD235EE6DED4A1D001D09,8,21,8,12,7.0,20.0
’„G16BC1749A7F3A5035CEE5272139D6432,7,15,8,16,7.0,19.0
’„G83AE463C71647E7E5187C0028CD8FD35,7,12,10,14,10.0,19.0
’„G2D7C1B7FA57E64A097B597540730B877,8,16,8,17,8.0,13.0
’„G4151BEDEA964C55C3146CF2AB811121D,8,15,8,18,7.0,14.0
’„G45E1D5DCEF3B3F84DF29CDB894D3AEFF,7,16,9,12,14.0,16.0
’„GBF3829B8CBF11A5953DFB2B66BAFBE5F,9,19,14,19,10.0,19.0
’„GFF91CAF27C0940F671D5D9A21BAB54DC,7,17,6,10,7.0,14.0
’„G313DD057FD10A0F76626C648C5014073,7,16,7,17,6.0,17.0
’„GD2199746138E695F2F2D5CB880970520,7,18,7,18,7.0,19.0
’„G84CC76E961950D1C1DE89D8DE39595B2,7,19,8,17,6.0,19.0
’„G92979E82FF4148427E9386580B3D86D7,13,15,3,15,3.0,16.0
À’D14587A2E935808D371E477F93A8FC5A2,8,17,8,17,8.0,18.0
’„G4051869413C8F5E5BEAA683BAEDC6DF7,7,16,7,17,7.0,18.0
’„GDBAABE5E2E69EF2F70ACE42848BBB3D4,7,17,7,17,7.0,17.0
’„G83626EF2087C14994738DFAB7681A2BB,8,17,8,17,7.0,18.0
’„GF19B38550FBFE2AFFFD4149732BB0282,6,17,6,17,6.0,8.0
’„GD33D2B1F1E75BBDB515A72965F76EB43,17,17,7,17,7.0,7.0
’„G32EBAA35B92B7411296DC898B096797B,7,18,7,17,,
’„G6AB26E3C34EF5CAF759153DF267E58D8,6,15,6,13,7.0,16.0
’„G4CB7CA470FED0D09D6078B67848842E7,6,20,13,16,7.0,21.0
’„GA08EBD61A184536596E6283BA5734C78,8,19,8,18,7.0,7.0
’„G5E4B556E848A79714641B4A847391C10,7,18,7,17,,
’„G210864741AB272E2D01F0A1BAB58D53B,7,17,8,17,8.0,15.0
’„G4BFCD2CF180433C95C10DA0160A79CB9,8,16,8,17,,
’„G169B10758A45B03FDA78925B88D6E286,7,18,8,12,5.0,17.0
’„G24B0E924F2734BFE201A3D49F0F741D9,13,18,10,15,14.0,19.0
’„GC73111BF16932C66820A164914AC9A5B,12,17,16,18,,
’„G3BDF49BBDA66818434D1FA0F96482B4E,7,17,7,7,6.0,17.0
’„G4EB69B467F9C29C9D4693E2F442D9D68,7,17,7,16,6.0,17.0
’„G650FAA548F6C7AC8930CF0C705397D8F,7,17,7,17,7.0,18.0
’„GBF2D39F2839A2B963E404050B4013549,8,19,8,17,11.0,19.0
’„G2E3954C08672E81AEC15052AD013F415,8,15,13,14,,
’„G5CB55E2DFFBBC6DFBAB7B0BD2F09952B,9,16,12,16,,
’„G05232CED19F31D8164C214158AE081E8,9,16,9,15,8.0,17.0
’„G94021A13DB539A7C1CBEB5F49D0CA713,17,17,7,17,,
’„G14B28C1B0BA30DF91E7A0DB9C6EB69E8,8,17,8,15,,
’„G532F434366B922C30ADA255F96B402B9,8,9,8,16,,
’„GBF3924E760466E45DEB2AD5DFDF61588,8,18,8,18,8.0,21.0
’„G09BDFAED0B7ABF238FDCE6291A1C19C7,7,18,8,17,,
ÕÓF742FC3DB8394E639B02F8ADF14007980,7,18,7,17,7.0,18.0
’„G7FC7C44F22CFCC8CCC11041062950709,8,9,8,8,8.0,8.0
’„G70C7311E7898AE8BC92B84E9EA37F5D0,8,18,8,18,8.0,20.0
’„D9FFF8AE8C0317609E87C70F2137B0927,8,17,8,17,8.0,17.0
¡…D407C725C4BB2A5CF4F872614A70B7940,7,19,10,17,7.0,18.0
’„G04EEA97AF930A9004A0EBA6A733A6133,8,20,8,17,,
’„GD2AE2BB36951783D57F217C3480E0E11,7,16,8,18,7.0,17.0
’„G421232BA9B2C84387BFC8DD162A04B42,15,23,11,15,10.0,16.0
’„ACE9610796EE65211660E1BB7862AB6ED,8,22,8,22,9.0,19.0
’„GC8C1B925436599201AF6A06492835B0C,7,16,7,14,7.0,15.0
’„GF1CA8FBAFB63495695D0D173EFA56097,7,16,11,18,,
’„G53E4515CF74CC9F138894E14FC30C5D9,6,7,7,16,6.0,17.0
’„G476EF34D25C30BF4CED6F45DEA7E258C,6,15,14,20,12.0,23.0
’„GFFBF19A9AFF9211F6BC2CDD8287B7A54,5,13,6,12,9.0,23.0
’„G72FCF83750C53E96B7BE1248465932CA,7,19,8,17,,
’„G65D2923D5379EBB6374D3CCA490A0B50,10,18,13,18,,
’„GAB48C164FA519634E44F2997AEAD1FC2,8,16,7,17,8.0,16.0
’„G7495B46803081FD29E4F20D64B6882FC,8,17,13,16,8.0,15.0
’„GE75AF8612FD1EEEBFFFAE0AB9FFD5859,7,16,7,17,,
’„G6C602749861D7D6E9E87A3C678CC7446,7,18,8,17,,
’„G323F64DFCEF4F586B1E220B8196BDE58,7,18,7,16,7.0,16.0
’„G915CCAB52F96B59E539EAD930594BCDC,7,13,9,15,7.0,18.0
’„G035DD57EDAF34AD5EE1F0C60282F1963,6,20,7,15,5.0,17.0
’„GA21B1E1A9A4063F28E50393E8EB2DEDE,7,18,7,17,7.0,17.0
’„G0B080E95A4437F89B30055D3D8B3D54E,8,17,8,17,,
’„G29E8A40F8F8FFF12E6E9C58D9CCB16D0,6,20,9,11,5.0,21.0
’„GFEA68D0AE9D378743AC85C6454F3D2E0,7,21,0,18,8.0,23.0
’„GBB00E459FA4392CC141E4EBEFA8A0B1E,8,19,7,17,,
’„GFFC61A8B91FB0C44409630B5B616FD94,6,20,7,17,7.0,14.0
’„GCBCFD1D8B37EA97D59673567D1D88EAA,8,18,7,17,8.0,17.0
’„GD19D9CD3CFECBFCD67DD51FB493588C0,7,18,7,17,7.0,17.0
’„A8F9508F1C97E3957047949650503D71C,8,17,8,16,,
’„G8214EE1507C94C2B9622EB16A306D386,7,8,7,17,,
’„G76F66A54D8616DD9824685E9FBA5E474,7,17,7,18,8.0,17.0
’„G8CB88C54FB54FD86EB784E0133D5EC42,7,17,7,18,7.0,18.0
’„G07D1116301A05C4C6D7E29485522C996,7,17,7,17,7.0,18.0
’„G152A166DE90DB2DEC1F9B3E3EF49AEBD,7,17,7,16,,
’„G574178924AE871C7DF7A3324C680BC2B,6,19,7,16,6.0,20.0
’„GB229880657DC55D1D96CC509AD35937E,8,19,7,18,7.0,18.0
ÕÓBDCFEC6FAF4E1BE6F25DECEAD30A24892,8,21,8,18,,
’„GDA3EE27326F5BD96D4C255B0F3A16323,6,18,6,16,,
’„GB0163C7A4D614761242FF164DD3A5E0E,7,17,8,18,,
’„GA72F7E5120B9887100393E59709F15E3,7,17,7,17,7.0,17.0
’„G725E279017F71CA7BC551D2CF7609F75,7,16,7,7,7.0,16.0
’„G848E07C86C791A139A64A413A2544B87,7,20,8,16,,
’„G61BF46BB937EEDD7CED2ABCF08002935,7,19,7,16,7.0,18.0
’„G7F2C165DEAF915DEC50EF65CCC71E13D,8,8,8,17,8.0,17.0
’„G88B07B0A85807D087E3F48A6E32FC5EF,8,9,7,21,,
’„GA17BB02D021D6AE36079BF6477F563E7,13,20,9,15,9.0,17.0
’„GB65EFDE39CDD2E6F03FB8A4E80DD3C1D,7,21,7,20,7.0,17.0
’„GBC7573250566630FE5BA7B39AAE46685,8,21,8,17,8.0,21.0
’„G401D4DBB85F4E195D059885085424B2A,0,20,11,18,11.0,23.0
’„G8516A004D8FECEE1F50984B20AB96F2D,9,14,10,13,10.0,16.0
’„GFCF25E8BBAF4A49365E2DB358F8BDF29,7,17,8,17,8.0,17.0
’„G80D7ACEEB23A0D22C8B746F68CD4DD9A,7,17,9,17,9.0,18.0
’„G58CAA8ED6B532EB1697034484AEC8DAB,7,16,7,17,6.0,18.0
’„G504D75CD8F4DCF53672E66E712EC6A51,18,18,8,19,,
’„G3409078DEDBF3EB4183A6985BD71E9DF,8,17,8,10,8.0,17.0
’„G6F1ABBA4A0DB178D9CAC2322E2FE9213,7,18,7,17,7.0,17.0
’„GA3009D8731B340F9AC39BADD9605D4E9,6,7,7,21,7.0,17.0
’„GCD1956B9F31E35A0147A653586EF3746,8,18,8,18,,
’„G59C3C34211159DFC39DC600E9B2171AA,9,23,12,19,0.0,19.0
’„G690287E6EA0999ADAB6E10653A396A69,7,21,7,17,,
’„G8B08AB321241490F660D407CC4F2F813,7,18,7,21,7.0,13.0
’„GB667618AB79294EAE75579B97A8803C9,8,18,8,18,8.0,18.0
’„GFB58C47AAF3841EE6FCA3672322DB87E,9,22,8,23,,
’„GD2875D9AF0F42DEDBBF7A84D01A6E79E,8,18,7,17,7.0,19.0
’„GDDE649099EBD85184182CCC6B8C1B982,8,18,7,19,8.0,18.0
’„G54A9784BF5B4A0DC7A53E9A9CE05E0C3,7,19,7,17,7.0,18.0
’„GA734B40E8D72C356C46A8E268192654C,7,17,7,16,7.0,17.0
’„G49D53B7AD3619DF70D5480BB9A05E6D8,8,18,13,17,10.0,19.0
’„G5285602FCAE533D53762F84AF77E9598,8,18,9,9,8.0,16.0
’„G76081327D85E6C0EC1E2CCF0A02151AF,7,17,7,17,,
’„GDAFF582AF7218ED41D50640C3291A5A5,7,13,8,18,,
’„G893D247125FC37AFAC546A44F1DC02FE,8,18,8,17,8.0,19.0
’„G283306CFA6D5FEEF2052BA6BBF3EE826,8,17,8,17,8.0,20.0
’„GDD41A76B4F9AB64FF2AE5470E460AC30,9,22,10,18,10.0,10.0
’„G56A1627486ACBCE01E63CDF4617CA703,6,14,6,11,5.0,14.0
’„GCDA0E7728EEE9C6B475F998A5FC607CD,7,17,7,17,7.0,7.0
’„G4AFC9A0912B1AE1AA1166FC967693FC7,7,21,8,17,7.0,22.0
’„G9128AE29540487D04A339E557372CCDD,7,17,8,17,,
’„GA09D47D3FF9620C8111820ECF6ED9EFB,7,17,11,16,5.0,17.0
’„G7B9ADA1208AA977A92700534B455B432,8,19,8,19,8.0,19.0
’„GECE7E0719F8BE0ADDB4A18194695B828,8,17,10,16,7.0,11.0
’„G152F4D1C01B61626D08CE4CFFBBBD5D5,6,17,7,17,6.0,18.0
’„GF32301F7EDF5C10A9D39BBD7FBB9E9B7,8,17,8,16,,
’„G7E0858C3C2DBDC94F53C0F92E9ECD2B3,7,17,7,17,,
’„G900C5307FFBD253E5F1EEBB9ADFD9D9C,8,22,8,17,0.0,22.0
’„GDC7AC1A5CBE1428F079410ADD785270F,7,18,7,17,7.0,18.0
’„GBF78C0B9F6F16D055A5FCAD0AB0C45AF,7,18,8,17,7.0,17.0
’„GB437ECA236DB79A2ECF831DEAE08E678,9,13,9,15,8.0,11.0
’„G66FABCEE58546427EFE0DBB251182E11,7,18,7,16,,
’„G8CEB61A9A60F05A73C45171054093EBA,8,17,8,21,8.0,18.0
‘•N0DB034985E6446BC2F89F32F94A650E8,7,18,7,19,8.0,20.0
’„G83C7B232345611E5ECBDA502A4229B8E,7,18,8,17,16.0,18.0
’„GE66EFBD4AC2DB4B09BDD6E2CF3544DD7,7,17,7,17,,
‘•RE0F2CDC8A8400A8B0425496101987A67,8,21,20,20,6.0,7.0
’„GE3D912B81DE2D40211A08DA82776DDD2,5,18,6,17,,
’„G1F4F06A90F851ABB92DD79147B571F50,7,18,7,17,7.0,8.0
’„G502AE1968427EE8306210DAFEA179C0B,7,18,8,17,8.0,12.0
’„G1A958ADD17FA1630E89264C57C6727BA,7,18,8,17,6.0,17.0
’„GD1AF69BFEAF5A44CF86AA0B58C3AE82A,7,16,7,16,7.0,17.0
’„G2980DB3AFEB0527565FAB40AD7D1AB84,8,16,8,17,9.0,16.0
’„G2F1EBA1D34D8143A4B78D23C0FE59053,7,17,8,17,8.0,18.0
’„GD70B85DF2218C253A23B9226FC237222,7,17,7,17,,
’„G137E09D4C1BA1B2E0924C022A22814A2,7,17,7,17,10.0,16.0
’„G3D4F764C24FCF5A18DE2A02674D942D9,7,19,9,16,8.0,18.0
’„G578040AADE13801405969E75C4B6EA94,7,17,8,18,8.0,17.0
’„G643E026C313674A95F997941BB2712C7,8,17,8,18,,
’„G735BA87D0281EE793281E084E0ABD839,8,17,7,16,7.0,17.0
’„GB0C8ABB363550851615B57F7AA876D69,8,17,8,9,,
’„GC298DFBA93A7D76E1DBCCF2E2E70C549,7,17,7,17,7.0,17.0
’„GD036246912D3EAE15158E26DDE3E351F,8,17,8,17,8.0,16.0
’„GEC90A69A1EF85A98D16A92FDC1690B69,7,18,8,17,8.0,19.0
’„GEE96F1338E6A06F45A0DB76E9D5ACE3B,7,19,0,15,7.0,20.0
’„GDB5F1BB78DCF8FB714DBFDB690F2E90D,8,17,9,17,,
’„GF4A5FA38F18CFCF91EC6C95B02B79E3E,7,17,7,16,7.0,7.0
’„G139F4EEA8DE80F612C657EAF9F8AA302,8,19,8,10,7.0,13.0
’„G87B742350C671664B8DF0EF213307714,8,17,8,16,,
’„G3305232A074666C9D71D02D9C8D34DEA,7,17,9,17,7.0,19.0
’„G47E08BBBB7A36D755967482C0173EA86,7,16,7,17,7.0,18.0
’„G91E5D3E36E09A9F1520CBAD4FA59F265,7,16,8,13,6.0,17.0
’„G937D496C80988CBDD2C4844BED446EEF,8,8,7,17,,
’„G1CDC218D428E83391972752D15EAC87E,12,17,12,15,13.0,15.0
’„G191F787EC20D31582A580CD04708AE31,7,17,8,15,8.0,16.0
’„G6D2F0F05A7D6B59FE8C4108CB5678C45,8,17,8,17,,
’„GE211EB51DB5D9DBEE6CE768EAEE77FD5,10,17,8,17,8.0,17.0
∏”E741A827A2553BDFFD958073F7688785B,8,20,8,19,,
’„GC0014BC79D1C1285315C1A1D892CA2CF,7,17,8,17,7.0,7.0
’„GEE7898725A5A99C01921CC878F62F44A,8,20,9,13,14.0,22.0
’„G911E22E9B3BF94E36F5925B15546F7B6,7,17,9,10,6.0,17.0
’„GD14B8D65610D0AA569D7A9A87B763DD7,5,20,5,16,2.0,19.0
’„G90ACB0BD7D0D19D00FBE712491BE5019,7,16,8,17,7.0,17.0
’„GCBC7DB20C7997045C3A7AC01AC521A7D,7,17,9,16,6.0,17.0
’„G090D3FC265858E5CBAA3DAB3B7870630,7,17,8,17,7.0,17.0
’„GA424E30CD0173AF978BA2E9628520BCC,8,18,9,18,8.0,19.0
’„G8480E01451FCF7D1A201E998BAC07F1A,8,22,10,11,,
’„GE8356225A02612697488372B49BFFB7A,7,21,8,18,7.0,19.0
’„G87A5827D60CB0B01A549FF29860FC07C,7,17,8,17,7.0,18.0
’„GCFC6C64160C5CB3A056BEE6C2DC0F4CC,7,17,7,18,7.0,7.0
’„GC2661558D78B25EFB4D047AE5D7F3285,7,17,7,17,7.0,17.0
’„G3555B850C7CC2902C1EE73352BE3FC74,8,8,8,9,,
’„G1D8727157EC7AF473FDDC7AFBBDA6107,6,6,10,12,9.0,14.0
’„G3C2C70DA708ECD96E9F3DB9C99690E0C,8,17,9,16,7.0,19.0
’„GD0936DB39613CF29F3DFCCCDB63E69EF,7,18,9,17,7.0,17.0
’„G195175D15510F446F830F3AAA6B99620,7,17,7,7,6.0,12.0
’„G343DA9A4AA2AC5BFDA46ED908FE5DE1E,6,21,7,16,6.0,20.0
’„GC30B1F874F681D1C952714D0696F3853,7,18,7,17,,
’„G08629A6078A2D5C3D6D9B02C311BD082,7,17,8,17,,
’„G24A22466DF1E51AC2BF55C022FF41459,7,17,7,16,,
’„G427740A06AED24431A7F50D2FF8CE38E,7,17,8,17,11.0,17.0
’„GD2A4D01B9921B5EEC2AC95D36A1628FD,8,18,8,16,,
’„GDB68D19884FC65411AB62D3B0BA8E80F,8,13,15,15,10.0,17.0
’„G1EDBB0614A720C4E20609D2C9767AE9E,7,17,10,17,,
’„G7E4E078AB15CAD60AF54E4F1EC914E0E,6,17,6,17,,
’„GA6E7C0F560F7828EE7F24B28E5CF2F29,7,17,8,17,10.0,17.0
’„GD617BE8BD5C6BAFE92BA4F1F27371747,6,21,9,16,5.0,16.0
’„G3EA00908149200D430B7CEA45A487B8C,7,19,7,17,6.0,17.0
À’BCFA6F55D938A00746F15EF3CD3F36584,0,11,1,10,2.0,10.0
’„G24965C1B750F25062BFC2DA8F6A08235,7,17,8,16,,
’„G00DE82044E0C53BEA5E52E48650F39BE,7,18,7,19,11.0,18.0
’„G9C0CBD294C61351F075356FD161566FD,7,10,7,17,7.0,12.0
’„G07EF8219075CC6333704F95FC8AF5E3D,6,17,7,17,,
’„G4407DEA7D742D8B154EC596BC47F391E,7,20,14,15,,
’„GBB06184D02BD0BAE1C4DE3D874A2FD15,7,21,11,12,,
’„GD91D47D621578FCE2ECC0401B5C9F1C1,8,19,8,15,8.0,20.0
’„G4010296A7BAC02E6A3B383981698C054,8,17,8,17,7.0,17.0
’„G77193D1876DF4B5D63ED1BCA104492FE,7,7,7,17,6.0,19.0
’„G80745296465CF3B20B751B2ACD3A73AF,7,9,6,16,7.0,17.0
’„G9AAD120E3E491D71C2F2B8048196200A,8,13,10,12,,
’„GBB92C113BF8201A0F614DECAF1E7C7FD,0,12,13,23,0.0,11.0
’„GF4F21546D209C130B5340315EE89B3C3,10,17,8,16,,
’„G10BC873626DD6A4BB63C3E80F2C4E5FD,7,17,8,17,,
’„GEA1428C83032DB889F21B7970533BB45,8,17,8,17,8.0,17.0
’„GEBDB694325FC85AC9D3361C8E0B8D245,5,20,14,14,5.0,17.0
’„G66E614A17B4B69550EBFCFC16F2BCB98,2,7,1,6,,
’„GB641C8B8C9E209087165E89591F20F5B,2,8,7,7,7.0,7.0
’„GA98130AE41A1832B4750954668E8189E,2,7,7,7,2.0,7.0
’„GEBD383821F8178FAD730CB0805D55DF4,7,18,8,17,7.0,8.0
’„GF6C1D00D0A65DF90867BBBFEAA2DCF1E,9,19,9,19,,
’„G5693CC64E89A9FBEDB7ABFC8C381C0B7,7,19,7,19,7.0,7.0
’„GD1CBB77D2D20241069B465E05A856B4F,7,17,7,17,,
’„G551EF5D4D0AC23B2FC60F05DA957E84D,7,16,7,16,,
’„DEE45DC655E0EBC9C8318A3D48667C0DA,10,14,8,16,11.0,16.0
’„G59D741990F907A1BFEB7FEB3341D92B1,7,13,7,17,,
’„G4BB7A407AFA547D50138266FB5F888E1,7,21,7,17,7.0,18.0
’„G38EE2EA9D25980DB5C758CB136DB7411,7,7,7,8,,
’„G6B601736BB35F9600B9E5C1F8B2D657C,7,17,7,17,7.0,20.0
